CID,SMILES,solubility_mean,solubility
5291138,C1=CC=C2C(=C1)NC(=N2)/C(=C/C3=CC=NC=C3)/C#N,24.8,moderate
6462308,CC1=CC(=C(C=C1C)S(=O)(=O)NC2=NC=NN2)C,25.2,moderate
912947,CC1=CC(=NC=C1)N(C2=NCC(S2)(C)C)C(=O)NC3=CC=CC=C3,25.3,moderate
2571368,COC1=CC2=CC=CC=C2C=C1C(=O)NC3CCCCC3,25.3,moderate
2733,C1=CC2=C(C=C1Cl)NC(=O)O2,25.4,moderate
2768369,C1C(C(C(=CC1=O)O)N2C=NC=N2)C3=CC4=C(C=C3)OCO4,25.4,moderate
9566172,C1=CC=C2C(=C1)C(=O)C(=CO2)/C=N/NC(=O)CC#N,25.7,moderate
2733208,COC(=O)[C@H](CS)N.Cl,25.7,moderate
2303040,COC1=CC=CC=C1NC(=O)/C=C\C2=CC=CO2,25.8,moderate
24980950,CC1=CC(=NC=C1)NC(=O)C2=CC=C(C=C2)C(=O)C3=CC=CC=C3,25.8,moderate
6858815,C1=CC(=CC=C1/C=N/N2C=NNC2=S)[N+](=O)[O-],25.9,moderate
1402571,CCCN1C2=C(C=C3C=C(C=CC3=N2)C)C(=N1)NC(=O)COC,26,moderate
922960,C1=CC=C(C=C1)C(=O)NNC(=O)/C=C/C2=CC=CS2,26,moderate
613466,CC1CC(=NC2=CC=CC=C2N1)C3=CC=CC=C3,26.2,moderate
713551,CC1=C(C=C(C=C1)N2C(=NN=N2)SCC3=CC=C(C=C3)C(=O)O)C,26.3,moderate
24686935,CC1=C(C2=CC=CC=C2N1)C(=O)C(C)OC(=O)C3=CN=C(C=C3)Cl,26.6,moderate
749649,CN1CCC(=NNC(=O)COC2=CC=C(C=C2)Cl)CC1,26.6,moderate
135472764,C1=CC(=CC=C1/C=N/N=C(/C2=NON=C2N)\N)O,26.7,moderate
2825993,C1=CC=C(C=C1)NC2=NC(=O)C3=CC=CC=C3O2,26.8,moderate
1318,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,27,moderate
845991,C1=CC(=CC=C1NN=C(C#N)C#N)S(=O)(=O)N,27.5,moderate
120160,C1=C(NC=N1)CCN.Cl,27.6,moderate
6893970,CC1=NC(=CS1)/C(=N/O)/C(=O)N,27.8,moderate
839075,C1=CC(=CC(=C1)Cl)NC(=O)CSC2=NN=C(S2)N,27.9,moderate
3103994,CCC1=NC(=NC2=CC=CC=C21)N=C(N)N,28,moderate
4316907,CC1=NOC2=C1C(=NC=N2)OC3=CC=CC=C3Cl,28,moderate
726481,C1=CC=C(C=C1)C2=C(C(=O)NC2=O)N,28.2,moderate
135439726,C1=CC=C(C=C1)NC2=NN=CC(=O)N2,28.2,moderate
2807849,CC(=O)C1=C(C=C(S1)C2=CC=CC=C2)N,28.4,moderate
331820,C1COCCN1C(=O)C2=C3N=C(C4=CC=CC=C4N3N=N2)N,28.8,moderate
2053815,C1COCCN1CCOC2=CC=C(C=C2)Br,29,moderate
7422526,CCOC1=NN=C(C=C1)C2=CC(=CC=C2)NC(=O)C3=CC=CO3,29.5,moderate
715771,CCN1C(=NC(=C1C(=O)O)[N+](=O)[O-])C,29.9,moderate
702333,CC1(CC2=CC=CC=C2C3=C1C(=O)N(C(=S)N3)C)C,3,low
2809869,C1C(C(=O)C2=CC=CC=C21)SC3=NN=NN3C4=CC=C(C=C4)O,3,low
